Year ,Submitted ,Accepted ,Rate,citation count,citation per paper,acm link,hyperlink
CHIMIT '07,,,,,,citation.cfm?id=1234772,
CHiMiT '08,,,,,,citation.cfm?id=1477973,
CHiMiT '09,,,,,,citation.cfm?id=1641587,
CHiMiT '10,,,,,,citation.cfm?id=1873561,
CHIMIT '11,,,,,,citation.cfm?id=2076444,
