Year ,Submitted ,Accepted ,Rate,citation count,citation per paper,acm link,hyperlink,,,,
GROUP '97,,,,,,citation.cfm?id=266838,,,,,1997
GROUP '99,,,,,,citation.cfm?id=320297,,,,,1999
GROUP '01,,,,,,citation.cfm?id=500286,,,,,2001
GROUP '03,,,,,,citation.cfm?id=958160,,,,,2003
GROUP '05,,,,,,citation.cfm?id=1099203,,,,,2005
GROUP '07,,,,,,citation.cfm?id=1316624,,,,,2007
GROUP '09,,,,,,citation.cfm?id=1531674,,,,,2009
GROUP '10,,,,,,citation.cfm?id=1880071,,,,,2010
